ds,y
1/1/2010,144
1/2/2010,151
1/3/2010,93
1/4/2010,102
1/5/2010,100
1/6/2010,101
1/7/2010,102
1/8/2010,106
1/9/2010,93
1/10/2010,104
1/11/2010,91
1/12/2010,94
1/13/2010,101
1/14/2010,113
1/15/2010,125
1/16/2010,111
1/17/2010,138
1/18/2010,114
1/19/2010,115
1/20/2010,119
1/21/2010,107
1/22/2010,112
1/23/2010,97
1/24/2010,105
1/25/2010,108
1/26/2010,96
1/27/2010,104
1/28/2010,82
1/29/2010,121
1/30/2010,102
1/31/2010,95
2/1/2010,108
2/2/2010,113
2/3/2010,119
2/4/2010,88
2/5/2010,114
2/6/2010,118
2/7/2010,112
2/8/2010,128
2/9/2010,110
2/10/2010,97
2/11/2010,106
2/12/2010,106
2/13/2010,125
2/14/2010,132
2/15/2010,138
2/16/2010,112
2/17/2010,122
2/18/2010,135
2/19/2010,126
2/20/2010,131
2/21/2010,130
2/22/2010,119
2/23/2010,121
2/24/2010,95
2/25/2010,117
2/26/2010,113
2/27/2010,92
2/28/2010,91
3/1/2010,135
3/2/2010,124
3/3/2010,104
3/4/2010,106
3/5/2010,105
3/6/2010,119
3/7/2010,120
3/8/2010,143
3/9/2010,125
3/10/2010,126
3/11/2010,126
3/12/2010,120
3/13/2010,127
3/14/2010,115
3/15/2010,118
3/16/2010,148
3/17/2010,129
3/18/2010,117
3/19/2010,121
3/20/2010,124
3/21/2010,128
3/22/2010,117
3/23/2010,119
3/24/2010,119
3/25/2010,116
3/26/2010,100
3/27/2010,114
3/28/2010,119
3/29/2010,122
3/30/2010,116
3/31/2010,122
4/1/2010,118
4/2/2010,128
4/3/2010,125
4/4/2010,130
4/5/2010,126
4/6/2010,132
4/7/2010,120
4/8/2010,133
4/9/2010,100
4/10/2010,114
4/11/2010,108
4/12/2010,134
4/13/2010,104
4/14/2010,110
4/15/2010,116
4/16/2010,116
4/17/2010,119
4/18/2010,124
4/19/2010,122
4/20/2010,127
4/21/2010,100
4/22/2010,114
4/23/2010,121
4/24/2010,118
4/25/2010,113
4/26/2010,113
4/27/2010,98
4/28/2010,116
4/29/2010,102
4/30/2010,86
5/1/2010,101
5/2/2010,99
5/3/2010,110
5/4/2010,109
5/5/2010,93
5/6/2010,108
5/7/2010,94
5/8/2010,120
5/9/2010,110
5/10/2010,117
5/11/2010,117
5/12/2010,91
5/13/2010,117
5/14/2010,99
5/15/2010,98
5/16/2010,98
5/17/2010,105
5/18/2010,113
5/19/2010,106
5/20/2010,131
5/21/2010,117
5/22/2010,131
5/23/2010,112
5/24/2010,116
5/25/2010,117
5/26/2010,119
5/27/2010,117
5/28/2010,113
5/29/2010,132
5/30/2010,119
5/31/2010,129
6/1/2010,110
6/2/2010,107
6/3/2010,95
6/4/2010,108
6/5/2010,104
6/6/2010,130
6/7/2010,112
6/8/2010,108
6/9/2010,103
6/10/2010,114
6/11/2010,115
6/12/2010,129
6/13/2010,138
6/14/2010,112
6/15/2010,117
6/16/2010,132
6/17/2010,125
6/18/2010,106
6/19/2010,122
6/20/2010,101
6/21/2010,133
6/22/2010,105
6/23/2010,133
6/24/2010,104
6/25/2010,115
6/26/2010,125
6/27/2010,120
6/28/2010,129
6/29/2010,103
6/30/2010,114
7/1/2010,112
7/2/2010,118
7/3/2010,128
7/4/2010,138
7/5/2010,123
7/6/2010,127
7/7/2010,138
7/8/2010,132
7/9/2010,120
7/10/2010,116
7/11/2010,115
7/12/2010,118
7/13/2010,126
7/14/2010,131
7/15/2010,131
7/16/2010,137
7/17/2010,136
7/18/2010,115
7/19/2010,136
7/20/2010,126
7/21/2010,117
7/22/2010,137
7/23/2010,126
7/24/2010,117
7/25/2010,122
7/26/2010,140
7/27/2010,132
7/28/2010,136
7/29/2010,124
7/30/2010,102
7/31/2010,132
8/1/2010,124
8/2/2010,141
8/3/2010,121
8/4/2010,123
8/5/2010,131
8/6/2010,119
8/7/2010,113
8/8/2010,117
8/9/2010,132
8/10/2010,111
8/11/2010,114
8/12/2010,114
8/13/2010,128
8/14/2010,105
8/15/2010,107
8/16/2010,134
8/17/2010,102
8/18/2010,121
8/19/2010,118
8/20/2010,126
8/21/2010,108
8/22/2010,104
8/23/2010,126
8/24/2010,111
8/25/2010,116
8/26/2010,100
8/27/2010,98
8/28/2010,97
8/29/2010,93
8/30/2010,92
8/31/2010,99
9/1/2010,92
9/2/2010,110
9/3/2010,125
9/4/2010,124
9/5/2010,131
9/6/2010,91
9/7/2010,108
9/8/2010,129
9/9/2010,98
9/10/2010,106
9/11/2010,105
9/12/2010,120
9/13/2010,99
9/14/2010,115
9/15/2010,105
9/16/2010,94
9/17/2010,100
9/18/2010,97
9/19/2010,112
9/20/2010,109
9/21/2010,120
9/22/2010,101
9/23/2010,107
9/24/2010,103
9/25/2010,107
9/26/2010,120
9/27/2010,98
9/28/2010,90
9/29/2010,90
9/30/2010,107
10/1/2010,107
10/2/2010,95
10/3/2010,88
10/4/2010,115
10/5/2010,115
10/6/2010,117
10/7/2010,107
10/8/2010,87
10/9/2010,111
10/10/2010,111
10/11/2010,106
10/12/2010,124
